mean_k_2,median_k_2,real_k_2,HDI_k_2_bottom,HDI_k_2_top
2.1559472618749997,2.157535,2.2632376444649864,1.832,2.48163
3.001476165625,3.0026599999999997,2.77901509151936,2.6615,3.34634
2.3109672900000002,2.31237,2.347222320706102,1.99164,2.62801
2.113623358125,2.114665,2.208677991707234,1.7535,2.49547
1.982286893125,1.985315,2.1872240386223183,1.66708,2.29601
2.7325966181249997,2.7327250000000003,2.876374371429842,2.39764,3.06181
2.4834767656250003,2.48311,2.4704336971872505,2.18061,2.79167
2.5914260131250004,2.59077,2.5124828734073583,2.25091,2.92143
2.77101609875,2.77211,2.823214701729598,2.43935,3.09164
2.1451318906249996,2.143985,2.3698221977498606,1.81528,2.49464
2.3418514537500004,2.34246,2.8317338538106283,1.99993,2.68827
2.6989845675,2.7003500000000003,2.7291665061983625,2.35485,3.03884
2.58306638,2.582515,2.745512561381046,2.22481,2.92443
2.9820162124999996,2.982815,2.7801264899966,2.64444,3.30405
2.2129854756249996,2.215065,2.1739408557813107,1.89513,2.52673
2.60433753875,2.60428,2.6862923422482883,2.25751,2.9294
2.9686025531249998,2.96905,2.8563701070553087,2.6352,3.28503
2.7918883525,2.790355,2.6756904376308794,2.49536,3.12839
2.6377792412499996,2.63991,2.953324224183087,2.33624,2.96791
2.705814963125,2.70494,3.0051735280327163,2.36007,3.05085
2.55859100125,2.558765,2.7828061996783435,2.22587,2.90547
2.3881327956250002,2.38867,2.352690818353425,2.09179,2.67791
2.506893508125,2.5039100000000003,2.541577775946051,2.15296,2.85648
2.179735989375,2.17732,2.581683151576498,1.83228,2.52553
2.685220203125,2.68348,2.613070239433525,2.35363,3.02353
2.1211430524999995,2.121995,2.1613645849605634,1.81478,2.43431
2.7348341956249995,2.73509,2.922271401786154,2.40657,3.07937
2.3045355762499997,2.3048349999999997,2.5026180282501587,1.98043,2.61792
2.2000941750000003,2.1992700000000003,2.241002344367594,1.856,2.52725
1.683962189375,1.681795,1.915560344108573,1.40477,1.96464
2.58601336,2.5863199999999997,2.466858583043537,2.25943,2.91318
2.659854993125,2.660025,2.7639860729175623,2.345,2.97725
2.2572314262499997,2.25643,2.3044258716738213,1.92502,2.59522
2.460615861875,2.461685,2.56899173839256,2.1064,2.77824
2.3417949074999997,2.34256,2.3323368608826947,2.00265,2.65772
2.079466014375,2.07963,2.3580718120818736,1.74858,2.4218
2.4982185331249998,2.499015,2.6431775111150198,2.19828,2.78702
3.3014599600000003,3.30221,3.320773587604563,3.00881,3.61424
2.207162254375,2.2079050000000002,2.4260635375691053,1.8843,2.52788
2.697309321875,2.697705,2.8044440024181276,2.34744,3.03828
2.526509283125,2.526805,2.921497902703358,2.22435,2.84897
2.2639482075,2.2625599999999997,2.5848939570518943,1.92353,2.62289
2.25428452625,2.2526900000000003,2.5198636986270335,1.93673,2.56444
2.74364209625,2.7438849999999997,2.571728659412836,2.40334,3.09617
2.8726100393750005,2.873105,2.866295378305677,2.55402,3.19147
2.87536803125,2.8751249999999997,2.8754849728530423,2.58526,3.17319
2.7123797006249997,2.7144649999999997,2.794817189188314,2.3843,3.03265
2.63645169875,2.635725,2.4871079887553025,2.33875,2.95704
2.5649359375000005,2.5628,2.639083082915675,2.22693,2.90462
2.839801313125,2.84216,2.6961127620074063,2.52041,3.16965
2.615250270625,2.61469,2.8580541478382515,2.28475,2.92159
2.7797778324999998,2.7796,2.3847337765175354,2.41233,3.1445
2.616630861875,2.61753,2.8980578340041827,2.3209,2.92134
2.6701772468750002,2.671615,2.6821072848566065,2.33739,3.00827
2.7553785612499997,2.756165,2.906707137933563,2.42469,3.09896
2.3027404068750004,2.302505,2.5661504099875887,1.99005,2.59742
2.0280289631249997,2.02923,2.216572838218262,1.69384,2.3444
2.2644041649999997,2.2651950000000003,2.2828329253803754,1.95554,2.57742
3.045443429375,3.0460450000000003,3.0127683604327133,2.72098,3.36721
2.6088293224999997,2.609235,2.4288545328754205,2.28952,2.93961
2.990139856875,2.98972,3.03796735181108,2.68966,3.2989
3.044862663125,3.043945,2.989561674162699,2.71616,3.37786
2.31160525875,2.31232,2.2389948191093128,1.9809,2.6415
2.2996275725,2.29961,2.3032697820351444,1.93157,2.63841
2.6530313175,2.6524900000000002,2.8851013832390153,2.3356,2.9753
3.0748060743749996,3.0744949999999998,2.7842450611085385,2.72987,3.42031
2.5874117324999997,2.5884650000000002,2.6783810067379217,2.26352,2.93407
2.6020547725,2.6035250000000003,2.5715889517705937,2.23524,2.96223
2.361772121875,2.3610749999999996,2.48488793229413,2.04473,2.6719
2.543293020625,2.544715,2.616272697474011,2.19925,2.88712
2.3343063825,2.33576,2.742680888357374,2.01712,2.65065
2.1410803925,2.1427199999999997,2.1909730852226734,1.81009,2.45774
1.9615722206250001,1.96465,2.1862659728851273,1.6037,2.31051
2.6501245093750003,2.64966,2.6567752823100608,2.32501,2.9659
2.879580018125,2.878495,2.8788523870302627,2.54442,3.21448
2.211121479375,2.20987,2.260339431226645,1.92554,2.52455
2.2116987625,2.211415,2.395846746237541,1.86748,2.5498
2.49284801125,2.4939150000000003,2.56374298956952,2.17404,2.79835
2.05641902875,2.05772,2.5698763572933525,1.7127,2.38677
3.1290031093749997,3.129145,2.8707092319174516,2.79181,3.465
2.25193740625,2.25292,2.3689397842501743,1.95476,2.55885
3.19608204875,3.196465,3.1449474777007485,2.85024,3.55388
2.1209077562500003,2.12023,2.33460084360094,1.79199,2.43875
2.57753793375,2.5777900000000002,2.8445113878300057,2.22802,2.91839
2.84698980875,2.84563,2.7580387701128775,2.53593,3.17125
2.4219556000000004,2.423035,2.5449552067925216,2.11879,2.73949
2.4355176525,2.435025,2.48075168188826,2.12978,2.74695
2.93177556125,2.932785,3.111228933043754,2.63107,3.2201
2.37896991,2.3791,2.7254928806903997,2.08066,2.69119
2.5693277075000003,2.5688950000000004,2.6117140709723974,2.25914,2.87733
1.89239209875,1.89001,2.1770263422100795,1.59478,2.21349
2.614224671875,2.612895,2.7351284752220697,2.28598,2.94945
2.724329895625,2.7232849999999997,2.514085833896258,2.39007,3.05819
2.3178935725,2.3193200000000003,2.4924061477696955,1.9929,2.63218
2.54850726875,2.5493050000000004,2.4653766530447427,2.22815,2.87745
2.8468622249999997,2.848015,2.716300994785525,2.5072,3.16379
2.69918541625,2.69751,2.8925288551358035,2.36545,3.02939
2.741722470625,2.74188,2.6795403138367235,2.39359,3.08732
2.6551999881249997,2.65462,2.837721652449799,2.34221,2.97033
2.250187640625,2.248885,2.438075336216277,1.89931,2.59472
