mean_threshold_nonword,median_threshold_nonword,real_threshold_nonword,HDI_threshold_nonword_bottom,HDI_threshold_nonword_top
1.1895740274999997,1.18984,1.1848107237398435,1.11878,1.25819
1.286035064375,1.28635,1.2648916978439075,1.21112,1.3614
1.0608879831250002,1.06062,1.0600847587358282,0.9984,1.12237
1.1386485656250003,1.13847,1.204780113423277,1.07137,1.20949
1.2019554506249999,1.201795,1.1339554240784215,1.13149,1.27306
1.1593413318749999,1.159215,1.1839242920277797,1.09177,1.22764
1.295213466875,1.29519,1.3176152880422873,1.2225,1.36764
1.1115434675,1.11103,1.1076205225549587,1.04403,1.17525
1.255714738125,1.255515,1.2719290774553464,1.18124,1.32716
1.1189048953125003,1.1186,1.1288411527166242,1.05521,1.18478
1.2490088475000003,1.24876,1.2167038847729255,1.17886,1.32141
1.1363212943125,1.13592,1.1648627392507627,1.07,1.2029
1.238910150625,1.23884,1.1697597195495193,1.16223,1.31958
1.1686118893750002,1.168205,1.1356276528291889,1.10458,1.23673
1.1768024268750001,1.176585,1.0970392723928786,1.11267,1.24223
1.1864489118750001,1.186245,1.1641178376576333,1.11692,1.25455
1.2556348725000002,1.255105,1.2068043952662526,1.18223,1.32931
1.165629775,1.165775,1.1299283322090423,1.09754,1.234
1.313416540625,1.313565,1.2733731098132144,1.23739,1.38542
1.321456700625,1.3215,1.3233635125793102,1.24258,1.40264
1.201932521875,1.201745,1.1435658084511156,1.13276,1.27033
1.247570985,1.247215,1.2220518712673423,1.17073,1.33392
1.19419885625,1.1941950000000001,1.1968836975732557,1.12675,1.26588
1.1540487231249998,1.15366,1.127129351441824,1.08386,1.22841
1.1840778131249998,1.18377,1.166793301064003,1.11594,1.24813
1.225887374375,1.225405,1.1841505425212477,1.15473,1.29919
1.213150781875,1.21295,1.2007521910153645,1.1427,1.28439
1.1242336437500002,1.12415,1.1041986838048858,1.05942,1.19125
1.204703215,1.20425,1.1900304164041158,1.12788,1.28138
1.1946294081249997,1.194355,1.1019273794741293,1.12744,1.26237
1.15335005,1.15296,1.1344945349910875,1.08156,1.22415
1.16272399625,1.16224,1.1418784419837915,1.09243,1.23361
1.2478907731250002,1.24782,1.1847127942059903,1.17425,1.32223
1.2183850425,1.21827,1.2274467896093268,1.14484,1.2936
1.1199257318750002,1.11947,1.1008160739310198,1.05642,1.18407
1.28327141875,1.28274,1.2591691703191945,1.20417,1.36433
1.146723849375,1.14635,1.1345652607922871,1.0755,1.21556
1.1347859506250002,1.1348,1.0994803641262696,1.06983,1.20139
1.2876149525,1.28739,1.2373289987368987,1.21263,1.36011
1.363396198125,1.36279,1.2614223938354598,1.28405,1.44502
1.217424575,1.21714,1.2067098275881132,1.15059,1.28625
1.065320991,1.06513,1.115843798370827,0.99994,1.12966
1.2142014775,1.21399,1.167114476742398,1.14466,1.28538
1.21163502875,1.211315,1.1495197675750224,1.13262,1.29015
1.2515531706249998,1.2511649999999999,1.1790806834553595,1.1811,1.3233
1.240433649375,1.240125,1.1854537245070818,1.17239,1.30971
1.338234059375,1.338155,1.275926819381721,1.26068,1.41159
1.1234495091249999,1.123255,1.1266593455370157,1.05808,1.19051
1.212626565625,1.2125650000000001,1.1838801110945056,1.14283,1.28449
1.178725904375,1.178465,1.1453203154703373,1.10968,1.24738
1.1884242725,1.188235,1.22425641474987,1.1201,1.25627
1.232183110625,1.23212,1.2121208565699777,1.16131,1.30103
1.150778845625,1.15008,1.1472993324924319,1.08027,1.21858
1.16409553125,1.163835,1.132074078880837,1.09669,1.23307
1.1944322093750002,1.19431,1.1654128535181631,1.12676,1.26611
1.306891015,1.30655,1.2534145038128504,1.2282,1.38825
1.2019802718750001,1.201735,1.1607372093760417,1.12833,1.27725
1.225956345,1.22594,1.1956207627963515,1.15532,1.29713
1.275892401875,1.275685,1.2963580577867926,1.20019,1.3532
1.2136397981250002,1.21333,1.1972582067893722,1.14216,1.2845
1.236155885,1.23601,1.1692087277972427,1.16651,1.30873
1.248636996875,1.2489,1.2243226182678435,1.17412,1.31859
1.1894125068749999,1.189405,1.1520945372142188,1.11874,1.25736
1.1151751556874998,1.115395,1.0957651313102905,1.0459,1.18356
1.134333314875,1.133815,1.148679494939247,1.06237,1.20532
1.1245667954374998,1.1240350000000001,1.1002989700781731,1.05495,1.19121
1.2422515462500001,1.2420550000000001,1.178673913015685,1.1665,1.31492
1.193323290625,1.19326,1.1801691912171899,1.12278,1.26423
1.211137918125,1.2111,1.1710115933786032,1.13881,1.27765
1.193919463125,1.19319,1.1772637261542573,1.12412,1.26438
1.162363041875,1.162215,1.1404598436300746,1.09977,1.22379
1.1896191100000002,1.189665,1.2270929799373977,1.12295,1.25488
1.129387680625,1.12902,1.1474050181986672,1.06057,1.19842
1.2037418387499998,1.20311,1.1930137461848727,1.13333,1.27839
1.31364362375,1.3130350000000002,1.245089558978053,1.23237,1.39503
1.2389778687500002,1.23915,1.2773434606799292,1.16323,1.30871
1.234350981875,1.234575,1.168948333768516,1.16186,1.30487
1.2784828775000001,1.27818,1.1973078369723118,1.20467,1.3536
1.2216188512500001,1.221905,1.1899432107649806,1.14851,1.29451
1.179836789375,1.17969,1.2230447935274325,1.11871,1.24577
1.1014907116250001,1.10158,1.0851954319001187,1.03968,1.16102
1.27331998375,1.273205,1.1839500160127052,1.19726,1.34931
1.327219601875,1.32629,1.3014054058233557,1.25157,1.40857
1.14897481375,1.149105,1.1274327184510562,1.08281,1.21133
1.1678306831250003,1.16776,1.1463533996019195,1.09722,1.2417
1.21947371625,1.21926,1.1861983370369005,1.15161,1.28937
1.26458610875,1.264025,1.2243320449691126,1.19133,1.33939
1.16852018,1.16816,1.130255996642701,1.09894,1.23849
1.253993099375,1.2543350000000002,1.2779496714964655,1.17902,1.32771
1.1877076212500002,1.18771,1.2139740306013669,1.11762,1.25701
1.1646493631250001,1.164625,1.1699569600124031,1.09974,1.22922
1.1890410406249998,1.188865,1.1614508385132958,1.11653,1.25755
1.20415057625,1.20347,1.1266704896752504,1.13056,1.27343
1.0427776398125,1.0422,1.0493895666121715,0.983399,1.10662
1.269986663125,1.26947,1.2837405996608728,1.19473,1.34354
1.161362046875,1.16154,1.1254901379124491,1.09018,1.22963
1.1539064562499999,1.1536,1.1177212173894486,1.08473,1.22254
1.180550951875,1.18027,1.1238395546700646,1.10914,1.25579
1.102290054,1.10188,1.0910878080774933,1.03567,1.17359
1.29313608,1.293365,1.2490952109133715,1.21951,1.36798
