mean_threshold_word,median_threshold_word,real_threshold_word,HDI_threshold_word_bottom,HDI_threshold_word_top
0.8489328755625,0.8484579999999999,0.8637429600495713,0.801938,0.89779
0.9103681933125,0.910461,0.8720219647874177,0.860914,0.961775
0.9271086338125,0.927265,0.9262699454810122,0.878703,0.978348
0.8384518084375,0.8386560000000001,0.8332384185865436,0.789336,0.885689
0.9431615508125001,0.943347,0.9425152490580043,0.893445,0.997145
0.8811924381875,0.8813070000000001,0.8563819830765257,0.833255,0.927205
0.8613542035624999,0.8609395,0.8964376440046463,0.812669,0.910459
0.8802570776875,0.8802239999999999,0.8539336644997949,0.831767,0.928193
0.829657984875,0.8298045000000001,0.8176609239179575,0.782605,0.877963
0.9284676230625,0.9285405,0.8861069277909636,0.878796,0.981321
0.8889212289375,0.8889055,0.8701221151679153,0.841111,0.938252
0.895162361875,0.895439,0.8793907755396271,0.842795,0.947539
0.780908864125,0.780905,0.8140484335585999,0.735951,0.822821
0.8734910346874999,0.873272,0.8614210083967502,0.826225,0.923819
0.9279177776875001,0.927876,0.9413823508512761,0.877399,0.979049
0.9234214553750001,0.9232100000000001,0.931334906087256,0.869238,0.972012
0.8792046716874999,0.878836,0.8818532572794564,0.830837,0.926826
0.837367408375,0.8371895,0.8374969845187215,0.787775,0.886394
0.8426971421875,0.842571,0.8561835206585021,0.795855,0.890959
0.8619466311249999,0.8616809999999999,0.8713167490932635,0.814109,0.910597
0.93712727825,0.9369925,0.905773879287943,0.883468,0.989945
1.03130953275,1.031435,0.9929712282737111,0.97309,1.08875
0.9039748229999999,0.9040765,0.893234546087964,0.852908,0.954065
0.8827291735624999,0.8826849999999999,0.8804254712202999,0.834229,0.930194
0.898610516,0.898367,0.9225610923503627,0.847552,0.949415
0.814706596625,0.814608,0.8346028480380729,0.767823,0.859625
0.8996340682499999,0.8995580000000001,0.8908248920260468,0.853103,0.949012
0.9624925750625,0.962437,0.9482612720285607,0.908363,1.02083
0.8964793573125001,0.896597,0.8481496896804299,0.84919,0.94727
0.90965588875,0.9098390000000001,0.867701040360623,0.858249,0.961227
0.8261251574374999,0.8260175000000001,0.8703739553388051,0.775172,0.873651
0.918482393125,0.9184209999999999,0.9248047825936263,0.86804,0.972113
0.850334882,0.8503210000000001,0.8832359259792995,0.804357,0.899709
0.8154887411874999,0.815242,0.8348723332484979,0.772307,0.860372
0.902780529125,0.902687,0.8868331154284383,0.855286,0.95264
0.9472354699375001,0.9473865,0.9227645001085811,0.894045,0.996686
0.8993306884375,0.8994035,0.8891976820067661,0.849624,0.947974
0.8674388255625001,0.8671230000000001,0.860625172463266,0.817389,0.919113
0.9198059463124999,0.919813,0.9480014336495449,0.864376,0.972334
0.8635792588125001,0.863441,0.8757926454951515,0.814799,0.91151
0.8396605648125001,0.839414,0.8533567136649179,0.792217,0.886577
0.8214405555,0.8212845,0.8256128010116691,0.77393,0.867165
0.9330149763750001,0.932483,0.9130407608997183,0.880377,0.984149
0.9066023130625002,0.9063215,0.8907124568572308,0.856023,0.956842
0.8514215425625,0.851354,0.8109979173100285,0.803505,0.894948
0.9182692979999999,0.9183025,0.9059059309920499,0.868733,0.968368
0.8827367685624999,0.8827400000000001,0.8779036119354394,0.833014,0.933823
0.7552868975,0.755188,0.7891112010136604,0.712012,0.796417
0.8947467941875,0.8948675,0.9115391391769867,0.846646,0.945775
0.862465723875,0.8623945,0.8546977503604746,0.813428,0.911092
0.8874157361875,0.8874105,0.8526502803838715,0.839568,0.937765
0.8893244365,0.889161,0.8582453267090372,0.838828,0.941487
0.8362606675625,0.8360335000000001,0.8595769236741189,0.791255,0.884831
0.87271667225,0.872553,0.8717691088188717,0.825871,0.921195
0.839422297,0.839249,0.858302832399204,0.794187,0.886649
0.8238405549375,0.8235915,0.8078172243128949,0.776161,0.870853
0.8021166884375,0.8021105,0.7943963348859233,0.754247,0.84911
0.857186996875,0.857029,0.8815497489876255,0.809804,0.907741
0.8744393504375,0.874773,0.8637951997133906,0.824813,0.923169
0.89562918925,0.8955420000000001,0.8789757710625967,0.846411,0.944303
0.8811356469999999,0.881086,0.8430504216070234,0.832171,0.930082
0.806240611625,0.8061780000000001,0.8569677529092223,0.761228,0.85477
0.8751205523125,0.874947,0.8709288955443746,0.827404,0.927874
0.924790221125,0.9243945,0.9264853118331866,0.875581,0.972958
0.9127623976875,0.9124144999999999,0.8812647392130157,0.86057,0.966175
0.868041822375,0.8678725,0.8775098918684257,0.817445,0.921133
1.0242671836250001,1.02449,0.9981622965623349,0.966914,1.08121
0.9003324029375,0.9004085,0.8917523200529026,0.851124,0.95208
0.8983478593750001,0.8982330000000001,0.9181986661808923,0.849014,0.949046
0.8603049405,0.8600099999999999,0.8437593492753047,0.812285,0.907073
0.840792368,0.8411420000000001,0.8325877577809427,0.792719,0.888458
0.8433417873125001,0.843375,0.8926762925661719,0.795561,0.892228
0.92192461125,0.9219225,0.917350538779045,0.869814,0.974639
0.8600742708125,0.860136,0.8770306597440031,0.811804,0.908324
0.8450482271875001,0.8450145,0.8293717602745855,0.798244,0.892999
0.8621623281249999,0.8619945,0.8424232910047901,0.812238,0.910683
0.8746863864375,0.8745725,0.8311906332928377,0.824506,0.923749
0.9269078059374999,0.9266175000000001,0.895789425141229,0.876686,0.976784
0.8558597855625001,0.8561645,0.8326702798913932,0.807388,0.903769
0.8988510785625,0.8987655,0.8641572417058991,0.850665,0.946531
0.8743522628749999,0.874419,0.863376050764198,0.824577,0.92099
0.8869374694375,0.886737,0.8551683682047843,0.837157,0.93612
0.972831156875,0.9727269999999999,0.9749080372913269,0.918912,1.02615
0.887632633125,0.887268,0.8930415814194623,0.836965,0.935378
0.8535946560625,0.8536364999999999,0.8123465263576647,0.804258,0.90294
0.8767250591249999,0.8766685000000001,0.8321066075188921,0.827586,0.928093
0.8483218354375,0.8482275,0.8405678265323626,0.797813,0.898884
0.9611896159375,0.9609465,0.9812111735338469,0.909991,1.01436
0.8582787455,0.858028,0.8587565303843793,0.811471,0.90356
0.825156239,0.824993,0.8139551067411691,0.776916,0.87045
0.8385607956875,0.8385050000000001,0.8608310135409375,0.789202,0.886479
0.9323676815,0.9319735,0.8912640376100988,0.879212,0.987369
0.9324999744375,0.932439,0.8983067394711546,0.880312,0.987629
0.89163866475,0.8917660000000001,0.8299510923191659,0.840031,0.945836
0.8134109734999999,0.8126534999999999,0.8074565858850851,0.765123,0.860399
0.8394888105,0.8393379999999999,0.8688018433054425,0.791972,0.884757
0.8652156998125001,0.8651105,0.831649607437143,0.817073,0.912676
0.8671210266875,0.866967,0.8646880194003964,0.819534,0.91716
0.8261869522499999,0.8261375,0.8471875181368389,0.779876,0.872331
0.9010412698749999,0.900617,0.9029677709940888,0.852342,0.952447
